Date,Open,High,Low,Close,Adj Close,Volume
2021-12-15,463.42,470.86,460.74,470.6,447.45,116899300
2021-12-14,463.09,465.74,460.25,463.36,440.57,97264100
2021-12-13,470.19,470.56,466.27,466.57,443.62,87724700
2021-12-10,469.23,470.9,466.51,470.74,447.59,77159800
2021-12-09,468.15,469.63,466.14,466.35,443.41,61272600
2021-12-08,468.7,470,466.83,469.52,446.43,72238800
2021-12-07,464.41,468.88,458.65,468.28,445.25,95484700
2021-12-06,456.13,460.79,453.56,458.79,436.23,98977500
2021-12-03,459.17,460.3,448.92,453.42,431.12,137331600
2021-12-02,450.73,459.07,450.31,457.4,434.9,127637800
2021-12-01,461.64,464.67,450.29,450.5,428.34,131939200
2021-11-30,462,464.03,455.3,455.56,433.15,148559600
2021-11-29,464.07,466.56,461.73,464.6,441.75,86268800
2021-11-26,462.34,463.9,457.77,458.97,436.4,112669600
2021-11-24,466.06,469.57,465.19,469.44,446.35,61858800
2021-11-23,467.22,469.1,464.45,468.19,445.16,73206500
2021-11-22,470.89,473.54,467.35,467.57,444.57,72762000
2021-11-19,469.61,470.94,468.5,468.89,445.83,57315600
2021-11-18,469.24,470.01,466.34,469.73,446.63,50625600
2021-11-17,469,469.19,467.48,468.14,445.12,47858300
2021-11-16,467.15,470.49,467.07,469.28,446.2,48857500
2021-11-15,468.64,468.81,466.23,467.43,444.44,46980500
2021-11-12,465.12,467.86,464.11,467.27,444.29,53466700
2021-11-11,465.21,465.29,463.75,463.77,440.96,34848500
2021-11-10,465.58,467.38,462.04,463.62,440.82,69429700
2021-11-09,469.32,469.57,465.88,467.38,444.39,51149100
2021-11-08,469.7,470.23,468.2,468.93,445.87,50405200
2021-11-05,469.28,470.65,466.92,468.53,445.49,66390600
2021-11-04,465.36,467,464.99,466.91,443.95,52847100
2021-11-03,461.3,465.15,460.83,464.72,441.86,52509800
2021-11-02,460.22,462.23,460.08,461.9,439.18,48908400
2021-11-01,460.3,460.7,458.2,460.04,437.41,48433600
2021-10-29,455.87,459.56,455.56,459.25,436.66,70162400
2021-10-28,455.46,458.4,455.45,458.32,435.78,51437900
2021-10-27,456.45,457.16,453.86,453.94,431.61,72438000
2021-10-26,457.2,458.49,455.56,455.96,433.53,56075100
2021-10-25,454.28,455.9,452.39,455.55,433.14,45214500
2021-10-22,453.13,454.67,451.05,453.12,430.83,58845100
2021-10-21,451.77,453.83,451.31,453.59,431.28,41305400
2021-10-20,451.13,452.73,451.01,452.41,430.16,49571600
2021-10-19,448.92,450.71,448.27,450.64,428.48,46996800
2021-10-18,443.97,447.55,443.27,447.19,425.2,62213200
2021-10-15,444.75,446.26,444.09,445.87,423.94,66260200
2021-10-14,439.08,442.66,438.58,442.5,420.74,70236800
