Date,Open,High,Low,Close,Adj Close,Volume,SMA_20,SMA_50,daily_return,RSI_14,MACD,Signal_Line,target,momentum_5d,return_3d,volume_change,outlier_return,Adj Close_norm,Volume_norm,SMA_20_was_imputed,SMA_50_was_imputed,daily_return_was_imputed,RSI_14_was_imputed,MACD_was_imputed,Signal_Line_was_imputed,momentum_5d_was_imputed,return_3d_was_imputed,volume_change_was_imputed,outlier_return_was_imputed,Adj Close_norm_was_imputed,Volume_norm_was_imputed
2015-02-23,210.94,211.21,210.48,211.21,176.92,74411100.0,172.637,172.55380000000002,-0.00011303266644069332,66.17024030479644,1.6388486014944874,1.1476775714062528,1,1.1999999999999886,0.005174828005191201,-0.4718736603632172,0,0.045276629430908544,0.11117855706143015,0,1,0,0,0,0,0,0,0,0,0,0
2015-02-24,211.12,212.05,210.76,211.81,177.42,72472300.0,172.9035,172.55380000000002,0.002826136106715005,67.53247198892926,1.7287594764254948,1.2638939524101014,0,1.4199999999999875,0.008682743556255978,-0.02605525250937024,0,0.046376110475855326,0.10719723812940438,0,1,0,0,0,0,0,0,0,0,0,0
2015-02-25,211.66,212.24,211.22,211.63,177.27,73061700.0,173.276,172.55380000000002,-0.00084545147108539,66.66519631539077,1.7675356949449395,1.364622300917069,0,1.2600000000000193,0.0018676519691889215,0.008132762448549213,0,0.04604626616237134,0.1084075689415232,0,1,0,0,0,0,0,0,0,0,0,0
2015-02-26,211.52,211.71,210.65,211.38,177.06,72697900.0,173.747,172.55380000000002,-0.0011846336097478538,65.39892191806317,1.7610209294551282,1.443902026624681,0,1.170000000000016,0.000796051025881761,-0.004979353067338987,0,0.045584484123493696,0.10766050693024251,0,1,0,0,0,0,0,0,0,0,0,0
2015-02-27,211.26,211.58,210.6,210.66,176.46,108076000.0,174.1105,172.55380000000002,-0.003388681802778737,61.787753779863266,1.68798490601489,1.4927186025027228,1,-0.47999999999998977,-0.005418766883611981,0.48664541891856583,0,0.04426510686955759,0.18030930995742486,0,1,0,0,0,0,0,0,0,0,0,0
2015-03-02,210.78,212.06,210.72,211.99,177.57,87491400.0,174.6355,172.55380000000002,0.006290377422645266,65.57487383686036,1.7000736636498743,1.5341896147321532,0,0.6500000000000057,0.001717062010118675,-0.19046411784299933,0,0.04670595478933942,0.13803890677598388,0,1,0,0,0,0,0,0,0,0,0,0
2015-03-03,211.47,212.05,210.08,211.12,176.84,110325800.0,175.0205,172.55380000000002,-0.004111054795291946,61.273901914822645,1.6319372354305415,1.553739138871831,0,-0.5799999999999841,-0.0012093591754254174,0.2609902230390644,0,0.04510071246371711,0.1849292662877692,0,1,0,0,0,0,0,0,0,0,0,0
2015-03-04,210.4,210.49,209.06,210.23,176.1,114497200.0,175.2465,172.55380000000002,-0.004184573625876542,57.17974132943421,1.5009250795842775,1.5431763270143204,1,-1.170000000000016,-0.0020052509985232225,0.03780983233296298,0,0.04347348051719585,0.1934952214110683,0,1,0,0,0,0,0,0,0,0,0,0
2015-03-05,210.62,210.8,209.85,210.46,176.29,76873000.0,175.5145,172.55380000000002,0.0010789324247586496,57.956515196499154,1.396332363982964,1.5138075344080493,0,-0.7700000000000102,-0.007216695996409839,-0.3286036689106808,0,0.04389128331427561,0.11623405999043482,0,1,0,0,0,0,0,0,0,0,0,0
2015-03-06,209.42,209.94,207.1,207.5,173.81,188128000.0,175.57250000000002,172.55380000000002,-0.01406772930966016,46.180751569467304,1.100639126814059,1.4311738528892513,1,-2.6500000000000057,-0.017173370510778052,1.4472571644140335,0,0.03843785733133959,0.34469580838249575,0,1,0,0,0,0,0,0,0,0,0,0
2015-03-09,207.74,208.79,207.55,208.36,174.53,89818900.0,175.69,172.55380000000002,0.004142454404234552,49.3954614368518,0.9138636375584497,1.327711809823091,0,-3.039999999999992,-0.008846342480666958,-0.5225649557747916,0,0.04002111003606296,0.14281841978108495,0,1,0,0,0,0,0,0,0,0,0,0
2015-03-10,206.71,206.81,204.93,204.98,171.7,157121300.0,175.7045,172.55380000000002,-0.016214977367787875,39.42684652745354,0.5313601785968558,1.1684414835778438,0,-5.140000000000015,-0.026140252273213482,0.7493122271593173,0,0.03379804732166414,0.2810236597701357,0,1,0,0,0,0,0,0,0,0,0,0
2015-03-11,205.29,205.5,204.4,204.5,171.3,110145700.0,175.608,172.55380000000002,-0.002329644729178626,38.25179258498596,0.19371376284519215,0.9734959394313136,1,-4.799999999999983,-0.014402167692731949,-0.2989766505241491,0,0.032918462485706734,0.18455943157575258,0,1,0,0,0,0,0,0,0,0,0,0
2015-03-12,205.26,207.18,205.2,207.1,173.47,93993500.0,175.615,172.55380000000002,0.012667834208990092,47.40897423136994,0.10007382158289602,0.7988115158616301,0,-2.819999999999993,-0.005876787887976409,-0.14664394524706825,0,0.03769021022077579,0.15139094609304846,0,1,0,0,0,0,0,0,0,0,0,0
2015-03-13,206.77,207.93,204.58,205.83,172.41,162410900.0,175.4855,172.55380000000002,-0.006110566668588224,43.978100336534375,-0.058989651731849335,0.6272512823429343,1,-1.4000000000000057,0.004227622811223242,0.7278950140169267,0,0.035359310405488564,0.29188583463234097,0,1,0,0,0,0,0,0,0,0,0,0
2015-03-16,206.71,208.69,205.86,208.58,174.71,136099200.0,175.435,172.55380000000002,0.013340293486456822,52.081289436994304,0.0005359991097009242,0.5019082256962876,0,0.18000000000000682,0.01989756102685869,-0.16200698352142617,0,0.04041692321224383,0.23785485188848776,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-17,207.69,208.42,206.98,207.96,174.19,94510400.0,175.34449999999998,172.59599999999998,-0.0029763608265125363,50.30951487088278,0.005685315306209304,0.4026636436182719,1,2.490000000000009,0.004253365991356062,-0.305577108462063,0,0.03927346292549916,0.15245239841199013,0,0,0,0,0,0,0,0,0,0,0,0
